Date,Open,High,Low,Close,Adj Close,Volume
2017-11-21,4060.800049,4084.379883,4059.020020,4076.659912,4076.659912,0
2017-11-22,4081.550049,4084.090088,4065.629883,4070.090088,4070.090088,0
2017-11-24,4076.959961,4095.060059,4075.729980,4094.040039,4094.040039,0
2017-11-27,4063.739990,4068.199951,4046.030029,4055.649902,4055.649902,0
2017-11-28,4064.979980,4074.120117,4045.520020,4068.500000,4068.500000,0
2017-11-29,4041.129883,4042.260010,3893.050049,3920.850098,3920.850098,0
2017-11-30,3941.899902,3961.810059,3921.780029,3944.610107,3944.610107,0
2017-12-01,3918.820068,3932.469971,3838.129883,3918.479980,3918.479980,0
2017-12-04,3940.659912,3940.729980,3835.620117,3847.989990,3847.989990,0
2017-12-05,3832.760010,3905.679932,3818.570068,3851.129883,3851.129883,0
2017-12-06,3827.340088,3873.560059,3817.360107,3869.020020,3869.020020,0
2017-12-07,3883.850098,3910.169922,3874.689941,3902.229980,3902.229980,0
2017-12-08,3936.260010,3946.439941,3899.870117,3905.580078,3905.580078,0
2017-12-11,3907.290039,3930.169922,3906.030029,3929.929932,3929.929932,0
2017-12-12,3918.459961,3931.979980,3902.800049,3912.110107,3912.110107,0
2017-12-13,3933.590088,3946.830078,3921.219971,3923.260010,3923.260010,0
2017-12-14,3932.439941,3944.080078,3917.209961,3917.979980,3917.979980,0
2017-12-15,3922.860107,3971.199951,3916.530029,3965.770020,3965.770020,0
2017-12-18,4000.520020,4013.250000,3992.060059,4011.949951,4011.949951,0
2017-12-19,4007.719971,4014.870117,3984.580078,3996.590088,3996.590088,0
2017-12-20,4025.570068,4025.570068,3974.989990,3998.780029,3998.780029,0
2017-12-21,4007.969971,4014.959961,3974.179932,3977.399902,3977.399902,0
2017-12-22,3972.629883,3974.010010,3957.729980,3969.379883,3969.379883,0
2017-12-26,3939.679932,3947.199951,3920.959961,3943.709961,3943.709961,0
2017-12-27,3946.290039,3964.060059,3942.199951,3954.739990,3954.739990,0
2017-12-28,3966.479980,3967.929932,3946.070068,3953.870117,3953.870117,0
2017-12-29,3956.120117,3958.679932,3920.959961,3920.959961,3920.959961,0
2018-01-02,3943.100098,3995.959961,3929.649902,3995.959961,3995.959961,0
2018-01-03,4002.479980,4046.439941,4000.979980,4044.330078,4044.330078,0
2018-01-04,4064.290039,4080.070068,4047.060059,4071.280029,4071.280029,0
2018-01-05,4088.350098,4108.029785,4079.399902,4102.370117,4102.370117,0
2018-01-08,4112.120117,4134.660156,4099.450195,4129.020020,4129.020020,0
2018-01-09,4131.229980,4137.609863,4099.279785,4112.169922,4112.169922,0
2018-01-10,4082.379883,4096.799805,4063.100098,4088.350098,4088.350098,0
2018-01-11,4095.729980,4106.930176,4085.439941,4105.580078,4105.580078,0
2018-01-12,4108.580078,4143.819824,4103.319824,4136.399902,4136.399902,0
2018-01-16,4166.600098,4185.540039,4101.899902,4120.129883,4120.129883,0
2018-01-17,4155.310059,4210.770020,4145.779785,4205.540039,4205.540039,0
2018-01-18,4195.100098,4225.370117,4192.640137,4213.759766,4213.759766,0
2018-01-19,4223.399902,4229.700195,4203.660156,4227.680176,4227.680176,0
2018-01-22,4223.220215,4256.149902,4207.299805,4256.149902,4256.149902,0
2018-01-23,4262.430176,4290.399902,4259.620117,4288.709961,4288.709961,0
2018-01-24,4268.629883,4289.049805,4207.660156,4227.629883,4227.629883,0
2018-01-25,4265.910156,4280.359863,4187.569824,4191.310059,4191.310059,0
